VPF0 locations in FPR.ROM (Japan version)

this list is incomplete.

-----------+--------------------------------------------------------------------
General Stuff
-----------+--------------------------------------------------------------------
0x000CE6C0 | smoke
0x000CFC40 | light beams
0x000D1680 | small circle
0x000D1E00 | fire
0x000D4080 | small orange ball (24bpp, unlike most VPF0 textures)
0x000D5BC0 | 
0x000D7800 | 
0x00165800 | spike logo
-----------+--------------------------------------------------------------------
0x1F8929C0 | 
0x1F896E00 | 
0x1F898240 | 
0x1F89A680 | 
0x1F89EAC0 | 
0x1F8AF680 | 
0x1F8BFAC0 | 
0x1F8CFF40 | 
0x1F8E0380 | 
0x1F8F0800 | 
0x1F900C40 | 
0x1F9110C0 | 
0x1F921500 | 
0x1F931980 | 
0x1F941DC0 | 
0x1F9544C0 | 
0x1F964DC0 | 
0x1F969200 | 
0x1F96D640 | 
0x1F97E6C0 | 
0x1F98EB00 | 
0x1F99EF80 | 
0x1F9AF3C0 | 
0x1F9BF840 | 
0x1F9CFC80 | 
0x1F9E0100 | 
0x1F9F0540 | 
0x1FA009C0 | 
0x1FA10E00 | 
0x1FA25A40 | 
0x1FA37040 | 
0x1FA3B480 | 
0x1FA3F8C0 | 
0x1FA50940 | 
0x1FA60D80 | 
0x1FA71200 | 
0x1FA81640 | 
0x1FA91AC0 | 
0x1FAA1F00 | 
0x1FAB2380 | 
0x1FAC27C0 | 
0x1FAD2C40 | 
0x1FAE3080 | 
0x1FAF6E00 | 
0x1FB12400 | 
0x1FB16840 | 
0x1FB17480 | 
0x1FB1B8C0 | 
0x1FB21500 | 
0x1FB31940 | 
0x1FB41DC0 | 
0x1FB52200 | 
0x1FB62680 | 
0x1FB72AC0 | 
0x1FB82F40 | 
0x1FB93380 | 
0x1FBA3800 | 
0x1FBB3C40 | 
0x1FBC6080 | 
0x1FBDBD40 | 
0x1FBDD180 | 
0x1FBE55C0 | 
0x1FBE9A00 | 
0x1FBF6300 | 
0x1FC06740 | 
0x1FC16BC0 | 
0x1FC27000 | 
0x1FC37480 | 
0x1FC478C0 | 
0x1FC57D40 | 
0x1FC68180 | 
0x1FC78600 | 
0x1FC88A40 | 
0x1FC9B100 | 
0x1FCA1540 | 
0x1FCA5980 | 
0x1FCA9DC0 | 
0x1FCB69C0 | 
0x1FCC6E00 | 
0x1FCD7280 | 
0x1FCE76C0 | 
0x1FCF7B40 | 
0x1FD07F80 | 
0x1FD18400 | 
0x1FD28840 | 
0x1FD38CC0 | 
